,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),SCR(2025)
137,충청북도 청주시,강내초등학교,-0.005496415725509167,-0.004694835680751174,-6.0,0.0,-1.9085916345617138
170,충청북도 청주시,비상초등학교,-0.005026428367797439,-6.890237652909063e-05,-6.0,0.0,-1.9077139787439716
148,충청북도 청주시,낭성초등학교,0.009677717942869231,-0.012079378774805865,-6.0,0.0,-1.9072089535320043
199,충청북도 청주시,용담초등학교현양원분교장,-0.018518518518518517,0.017543859649122806,-6.0,0.0,-1.9070437300825298
134,충청북도 청주시,가덕초등학교,0.022255834961450394,-0.00575880758807588,-6.0,0.0,-1.9039232789160618
160,충청북도 청주시,미원초등학교,0.01095467426736777,0.03493619670090258,-6.0,0.0,-1.898900702261972
190,충청북도 청주시,수성초등학교구성분교장,0.007936507936507936,0.041666666666666664,-6.0,0.0,-1.898270897932411
230,충청북도 청주시,현도초등학교,0.020833333333333332,0.03333333333333333,-6.0,0.0,-1.8974494677221627
226,충청북도 청주시,한국교원대학교부설월곡초등학교,0.057903488133065444,0.006550337029789084,-6.0,0.0,-1.8955750353691965
176,충청북도 청주시,상봉초등학교,0.010011123470522803,0.05524657026325547,-6.0,0.0,-1.8955729713032203
155,충청북도 청주시,동화초등학교,0.03531893004115226,0.054585289514866984,-6.0,0.0,-1.8912626758304245
136,충청북도 청주시,갈원초등학교,0.05456495399024134,0.04785646452313119,-6.0,0.0,-1.8890554344205452
185,충청북도 청주시,석성초등학교,0.02628384687208217,0.08553791887125221,-6.0,0.0,-1.8875193167506454
182,충청북도 청주시,서촌초등학교,0.025719015517172605,0.08711648158774092,-6.0,0.0,-1.8873465965306573
145,충청북도 청주시,남이초등학교,0.09009682564449299,0.04689414739323996,-6.0,0.0,-1.883009656048146
166,충청북도 청주시,북이초등학교,0.17570546737213402,-0.021957671957671957,-6.0,0.0,-1.8798846583391056
64,충청북도 옥천군,장야초등학교,0.06672795074824983,-0.01405791392394143,-2.76,3.0,-1.874160577998433
197,충청북도 청주시,옥포초등학교,0.15903092006033184,0.13012820512820514,-6.0,0.0,-1.8566460733388428
161,충청북도 청주시,미원초등학교금관분교장,0.125,0.2638888888888889,-6.0,0.0,-1.8395928149857474
239,충청북도 충주시,대미초등학교,-0.07151599930057702,-0.043076441102756886,-4.48,1.0,-1.7790937133392655
240,충청북도 충주시,덕신초등학교,-0.03255046706179903,0.047853014670938665,-4.48,1.0,-1.756645543193999
234,충청북도 충주시,금가초등학교,-0.021955513527249986,0.0418102362273134,-4.48,1.0,-1.755832604054297
254,충청북도 충주시,주덕초등학교,0.07097209328159838,0.03525222432868907,-4.48,1.0,-1.740715842636466
251,충청북도 충주시,오석초등학교,0.12734254992319508,-0.004915514592933948,-4.48,1.0,-1.7377692648717513
76,충청북도 음성군,무극초등학교,0.040615339318915,-0.004799052646813368,-4.28,1.0,-1.6893490842870356
75,충청북도 음성군,맹동초등학교,0.007174688057040998,0.03409090909090909,-4.28,1.0,-1.6885070764768737
85,충청북도 음성군,용천초등학교,0.09167204878948652,0.0255558904014961,-4.28,1.0,-1.6752039671257568
49,충청북도 영동군,영동초등학교,0.00791033146457376,-0.002448144608213022,-3.14,2.0,-1.6677884251692439
51,충청북도 영동군,이수초등학교,0.04867671226468905,-0.0005671181794519783,-3.14,2.0,-1.6603386562890199
44,충청북도 영동군,부용초등학교,0.08925336579569004,0.037190857465688704,-3.14,2.0,-1.6467524772520519
60,충청북도 옥천군,삼양초등학교,0.008202774620820358,0.009244458935168884,-2.76,2.0,-1.5449610999162378
65,충청북도 옥천군,죽향초등학교,0.07578272240823675,0.020468347025040582,-2.76,2.0,-1.5312174549037763
252,충청북도 충주시,용원초등학교,-0.290448343079922,-0.03604288499025341,-4.48,0.0,-1.4807323917556872
232,충청북도 충주시,가흥초등학교,-0.2000854700854701,-0.027777777777777776,-4.48,0.0,-1.4635149106642766
260,충청북도 충주시,충주대소원초등학교,-0.10567487268880155,-0.05389572599483961,-4.48,0.0,-1.451502532830147
241,충청북도 충주시,동량초등학교,-0.10749941273197088,-0.03718216649251132,-4.48,0.0,-1.448947331807029
236,충청북도 충주시,단월초등학교,-0.0783143489954121,-0.0346907134947002,-4.48,0.0,-1.4434171003723506
244,충청북도 충주시,세성초등학교,-0.06073153899240855,-0.034492753623188405,-4.48,0.0,-1.4403094385499022
266,충청북도 충주시,충주중앙탑초등학교,-0.06656483374334453,-0.02117365826722552,-4.48,0.0,-1.4390387294840243
235,충청북도 충주시,노은초등학교,-0.07191453579482476,0.09789067142008319,-4.48,0.0,-1.4194990156217995
248,충청북도 충주시,앙성초등학교,0.06672312556458898,0.03088041136821625,-4.48,0.0,-1.4067874259594517
237,충청북도 충주시,달천초등학교,0.06971685683744748,0.0349802371541502,-4.48,0.0,-1.4055590709944807
243,충청북도 충주시,산척초등학교,0.042510121457489884,0.06371406371406373,-4.48,0.0,-1.4053738222485914
246,충청북도 충주시,수안보초등학교,0.05687830687830688,0.06613756613756613,-4.48,0.0,-1.4024453880127976
249,충청북도 충주시,엄정초등학교,0.09681522181522183,0.03779972982100641,-4.48,0.0,-1.4003372003405556
247,충청북도 충주시,수회초등학교,0.11204130397678785,0.052270011947431305,-4.48,0.0,-1.395187175418384
245,충청북도 충주시,소태초등학교,0.11864357864357865,0.06277056277056277,-4.48,0.0,-1.3922273173641695
238,충청북도 충주시,달천초등학교매현분교장,0.11415882383624319,0.08964878857351977,-4.48,0.0,-1.3883891779013486
83,충청북도 음성군,오갑초등학교,-0.033351370851370854,-0.04204877724614567,-4.28,0.0,-1.3732617487263716
70,충청북도 음성군,감곡초등학교,-0.02607365827717882,0.013798253565745261,-4.28,0.0,-1.3623858156055288
86,충청북도 음성군,원남초등학교,-0.0256713182284295,0.023479996235965837,-4.28,0.0,-1.3606505633330388
82,충청북도 음성군,쌍봉초등학교,-0.0007351843558740107,0.012434691745036572,-4.28,0.0,-1.358190926923342
73,충청북도 음성군,대소초등학교,0.00863089771635891,0.008323048640937226,-4.28,0.0,-1.3572607171146418
78,충청북도 음성군,삼성초등학교,0.05351907872778719,0.0060989820537886786,-4.28,0.0,-1.3497963556038315
90,충청북도 음성군,하당초등학교,0.07118796317089603,0.00028264556246466896,-4.28,0.0,-1.347707895144301
79,충청북도 음성군,생극초등학교,0.04321591237709659,0.036405636405636405,-4.28,0.0,-1.3463857529125869
80,충청북도 음성군,소이초등학교,0.1259259259259259,-0.026080246913580244,-4.28,0.0,-1.3426727416648303
84,충청북도 음성군,오선초등학교,0.11494443654068069,0.03822808584713346,-4.28,0.0,-1.333533620131529
77,충청북도 음성군,부윤초등학교,0.09337010580651056,0.07942532581150041,-4.28,0.0,-1.3302205111101661
100,충청북도 제천시,송학초등학교,-0.2754309609148319,-0.017207370277545715,-4.02,0.0,-1.3286783832278353
110,충청북도 제천시,한송초등학교,-0.19444444444444442,-0.06666666666666667,-4.02,0.0,-1.3230265376920827
52,충청북도 영동군,초강초등학교,0.07648148148148148,-0.013015873015873014,-3.14,1.0,-1.322195933514312
88,충청북도 음성군,청룡초등학교,0.148897885739991,0.09548229548229548,-4.28,0.0,-1.3177525636768601
87,충청북도 음성군,원당초등학교,0.18987720874513325,0.057093638488987325,-4.28,0.0,-1.3171905428973434
46,충청북도 영동군,심천초등학교,0.0924775707384403,0.0,-3.14,1.0,-1.3171614123440605
109,충청북도 제천시,청풍초등학교,-0.11700854700854701,-0.02457264957264958,-4.02,0.0,-1.302251412994073
103,충청북도 제천시,왕미초등학교,-0.029524020523166734,0.01903027416335401,-4.02,0.0,-1.2794602263828736
4,충청북도 괴산군,문광초등학교,-0.05403195088615536,0.005847953216374269,-1.88,2.0,-1.2767568789953891
98,충청북도 제천시,백운초등학교,0.0767195767195767,0.00834736251402918,-4.02,0.0,-1.2627250583948748
112,충청북도 제천시,화당초등학교,0.038229143737618314,0.05511837503362926,-4.02,0.0,-1.2614105298028326
99,충청북도 제천시,봉양초등학교,0.0775893378607224,0.022429830520398448,-4.02,0.0,-1.2601513267749815
107,충청북도 제천시,제천덕산초등학교,0.08568033273915626,0.034080298786181136,-4.02,0.0,-1.2567334827545404
2,충청북도 괴산군,동인초등학교,0.07763023222609573,-0.0035711152057559003,-1.88,2.0,-1.2553609966477697
91,충청북도 제천시,금성초등학교,0.12565308254963428,0.010101010101010102,-4.02,0.0,-1.2538695136372917
1,충청북도 괴산군,괴산명덕초등학교,0.12145046342454119,0.04092229484386347,-1.88,2.0,-1.2400495552661837
101,충청북도 제천시,수산초등학교,0.26746031746031745,0.07474747474747474,-4.02,0.0,-1.2179635207622563
56,충청북도 옥천군,군남초등학교,0.07486924352595993,-0.014654292639367269,-2.76,1.0,-1.2019940302584664
30,충청북도 보은군,보은삼산초등학교,-0.026305418047263985,0.015276811802213222,-2.64,1.0,-1.1763966236789047
29,충청북도 보은군,동광초등학교,0.05865719053930606,0.0026886129071819337,-2.64,1.0,-1.1637091899150922
21,충청북도 단양군,대강초등학교,-0.03097273097273097,0.007347428400059979,-2.24,1.0,-1.0514545193698164
18,충청북도 단양군,단양초등학교,-0.011076479728841923,-0.011253119368020386,-2.24,1.0,-1.0511751325249619
19,충청북도 단양군,단천초등학교,0.03845598845598846,0.01786684044748561,-2.24,1.0,-1.037508839035786
23,충청북도 단양군,상진초등학교,0.09635878954395292,-0.015180623219045869,-2.24,1.0,-1.0330699574362836
53,충청북도 영동군,추풍령초등학교,0.014451838408281237,-0.05329153605015674,-3.14,0.0,-1.0045422557393022
43,충청북도 영동군,매곡초등학교,0.005048854019105736,-0.02551487414187643,-3.14,0.0,-1.001409363745734
45,충청북도 영동군,상촌초등학교,0.02704222268660875,0.03651019440493125,-3.14,0.0,-0.9868986073647992
42,충청북도 영동군,구룡초등학교,0.040594266582967144,0.025641025641025644,-3.14,0.0,-0.9863987142670176
55,충청북도 영동군,황간초등학교,0.09296360820751065,-0.014084422108128514,-3.14,0.0,-0.9840755057278828
47,충청북도 영동군,양강초등학교,0.08412698412698412,0.042559523809523804,-3.14,0.0,-0.9758794496436581
54,충청북도 영동군,학산초등학교,0.12169117647058823,0.021536855482933912,-3.14,0.0,-0.9729280812344846
48,충청북도 영동군,양산초등학교,0.10566448801742918,0.04747639796659405,-3.14,0.0,-0.9712689872017115
50,충청북도 영동군,용화초등학교,0.18435525826830176,0.011148272017837238,-3.14,0.0,-0.9637603565371391
69,충청북도 옥천군,청성초등학교,-0.08288770053475936,-0.1263475087004499,-2.76,0.0,-0.9133555838009918
59,충청북도 옥천군,동이초등학교우산분교장,-0.10952380952380951,-0.016666666666666666,-2.76,0.0,-0.8991505393204946
58,충청북도 옥천군,동이초등학교,-0.04969191015702643,-0.05117604187371629,-2.76,0.0,-0.894625832964023
67,충청북도 옥천군,증약초등학교대정분교장,-0.007936507936507936,0.0,-2.76,0.0,-0.8785261625310026
62,충청북도 옥천군,안내초등학교,0.03812636165577342,-0.007965686274509803,-2.76,0.0,-0.8718438128681124
28,충청북도 보은군,내북초등학교,-0.07401656314699794,-0.037532515793385346,-2.64,0.0,-0.8583953051912631
33,충청북도 보은군,속리초등학교,-0.08628275390815658,-0.0012864493996569473,-2.64,0.0,-0.85430648489036
61,충청북도 옥천군,안남초등학교,0.06741702741702742,0.08507575757575757,-2.76,0.0,-0.8507237010630643
66,충청북도 옥천군,증약초등학교,0.1282211383646317,0.03592940788388587,-2.76,0.0,-0.8485460900105678
57,충청북도 옥천군,군서초등학교,0.09018759018759019,0.08754208754208755,-2.76,0.0,-0.846319097387075
63,충청북도 옥천군,이원초등학교,0.11244249021796231,0.0662705925001007,-2.76,0.0,-0.8460867085376929
36,충청북도 보은군,종곡초등학교,-0.015377282043948698,-0.0033857386798563233,-2.64,0.0,-0.8422726298279996
37,충청북도 보은군,탄부초등학교,0.0005941770647653055,-0.008558979147214449,-2.64,0.0,-0.8403703033207645
68,충청북도 옥천군,청산초등학교,0.25388744307091743,-0.04242424242424242,-2.76,0.0,-0.8400526650708187
38,충청북도 보은군,판동초등학교,0.022131887985546522,0.009259259259259259,-2.64,0.0,-0.8335412228542944
41,충청북도 보은군,회인초등학교,0.060027572691641606,-0.015179879823029945,-2.64,0.0,-0.8311194199135622
35,충청북도 보은군,수한초등학교,0.04559386973180077,0.013203654582964928,-2.64,0.0,-0.828761578095953
27,충청북도 보은군,관기초등학교,0.07738704613704614,0.024828021595262973,-2.64,0.0,-0.8212048864750048
32,충청북도 보은군,세중초등학교,0.10932903918411165,0.040457665903890154,-2.64,0.0,-0.8129334133659618
34,충청북도 보은군,수정초등학교,0.1530746384926238,0.019541564707671464,-2.64,0.0,-0.8088831584184512
40,충청북도 보은군,회남초등학교,0.0893939393939394,0.09444444444444444,-2.64,0.0,-0.8071344015624282
31,충청북도 보은군,산외초등학교,0.18894927536231884,0.061111111111111116,-2.64,0.0,-0.7954634741415229
17,충청북도 단양군,가평초등학교,-0.23529589371980678,-0.12010869565217391,-2.24,0.0,-0.7736668975115601
14,충청북도 단양군,가곡초등학교,0.004214559386973164,-0.3547504025764896,-2.24,0.0,-0.772148640214725
10,충청북도 괴산군,장연초등학교,-0.9349801959558056,0.002513475684207391,-1.88,0.0,-0.7604813453242052
15,충청북도 단양군,가곡초등학교대곡분교장,0.025044091710758387,-0.17835497835497835,-2.24,0.0,-0.7381736450284143
20,충청북도 단양군,대가초등학교,0.02660455486542443,0.07004830917874395,-2.24,0.0,-0.6951842163431502
22,충청북도 단양군,매포초등학교,0.0830734152447876,0.03931474481501481,-2.24,0.0,-0.6905980898967368
25,충청북도 단양군,영춘초등학교,0.19023569023569023,0.041093474426807754,-2.24,0.0,-0.6715593645757651
24,충청북도 단양군,어상천초등학교,0.1357487922705314,0.17129417747266715,-2.24,0.0,-0.6586941709877479
3,충청북도 괴산군,목도초등학교,-0.05497046893901658,-0.06712704901110698,-1.88,0.0,-0.6186241396722661
0,충청북도 괴산군,감물초등학교,-0.057043258673693455,-0.061153198653198654,-1.88,0.0,-0.6179591877616316
5,충청북도 괴산군,백봉초등학교,-0.09545259545259548,0.004947196436558137,-1.88,0.0,-0.6133065075148363
7,충청북도 괴산군,소수초등학교,0.0058823529411764705,-0.09745323416723012,-1.88,0.0,-0.6132016058056058
8,충청북도 괴산군,송면초등학교,-0.05721283728802525,-0.003243402624207576,-1.88,0.0,-0.6080303791199121
11,충청북도 괴산군,청안초등학교,-0.05675954592363261,0.007456140350877193,-1.88,0.0,-0.6061111942094674
16,충청북도 단양군,가곡초등학교보발분교장,0.4444444444444444,0.16666666666666666,-2.24,0.0,-0.6055274037682052
9,충청북도 괴산군,연풍초등학교,-0.02484472049689441,-0.01984126984126984,-1.88,0.0,-0.605226416927789
12,충청북도 괴산군,청천초등학교,0.008322087269455691,-0.04273504273504273,-1.88,0.0,-0.6033655117903827
13,충청북도 괴산군,칠성초등학교,0.08387799564270153,-0.07508369201339073,-1.88,0.0,-0.5957205504281466
6,충청북도 괴산군,보광초등학교,0.01797287603296449,0.0390585171737177,-1.88,0.0,-0.5876128531277132
