,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),X_i(2025)
0,충청북도 괴산군,감물초등학교,0.7872689227701732,0.8066645319300925,0.0,0.24025974025974023,0.027657266811279824
1,충청북도 괴산군,괴산명덕초등학교,0.8629859573945969,0.8673791718801143,0.0,0.48051948051948046,0.07266811279826466
2,충청북도 괴산군,동인초등학교,0.8443974158823251,0.8409144321197419,0.0,0.48051948051948046,0.15455531453362256
3,충청북도 괴산군,목도초등학교,0.7881482001490342,0.8031112777535045,0.0,0.24025974025974023,0.026572668112798264
4,충청북도 괴산군,문광초등학교,0.788546319495019,0.8465169066052629,0.0,0.48051948051948046,0.03145336225596529
5,충청북도 괴산군,백봉초등학교,0.7709756826012628,0.8459811352688191,0.0,0.24025974025974023,0.021691973969631236
6,충청북도 괴산군,보광초등학교,0.81909076615046,0.8662705944310809,0.0,0.0,0.04338394793926247
7,충청북도 괴산군,소수초등학교,0.813961966410016,0.7850732222934571,0.0,0.0,0.015726681127982645
8,충청북도 괴산군,송면초등학교,0.7871969875241489,0.8411093560012157,0.0,0.0,0.027657266811279824
9,충청북도 괴산군,연풍초등학교,0.8009275422517411,0.8312369223984215,0.0,0.0,0.013557483731019523
10,충청북도 괴산군,장연초등학교,0.41484808523693156,0.8445335549127945,0.0,0.0,0.02006507592190889
11,충청북도 괴산군,청안초등학교,0.7873892737151097,0.847473458462114,0.0,0.0,0.02006507592190889
12,충청북도 괴산군,청천초등학교,0.8149969016807761,0.8176196756850074,0.0,0.24025974025974023,0.019522776572668113
13,충청북도 괴산군,칠성초등학교,0.8470477170435055,0.7983786558621548,0.0,0.0,0.024945770065075923
14,충청북도 단양군,가곡초등학교,0.8132544884057168,0.632032522660906,0.08294930875576051,0.0,0.009219088937093277
15,충청북도 단양군,가곡초등학교대곡분교장,0.8220903757502733,0.7369527567301016,0.08294930875576051,0.25874125874125875,0.013557483731019523
16,충청북도 단양군,가곡초등학교보발분교장,0.9999999999999999,0.9421720922903681,0.08294930875576051,0.25874125874125875,0.0
17,충청북도 단양군,가평초등학교,0.7116541572701668,0.771597723524504,0.08294930875576051,0.0,0.013557483731019523
18,충청북도 단양군,단양초등학교,0.8067680298089355,0.8363451657774746,0.08294930875576051,0.25874125874125875,0.17245119305856832
19,충청북도 단양군,단천초등학교,0.8277797021775575,0.8536657567928727,0.08294930875576051,0.25874125874125875,0.01735357917570499
20,충청북도 단양군,대가초등학교,0.8227523242004657,0.8847033641317279,0.08294930875576051,0.25874125874125875,0.010303687635574838
21,충청북도 단양군,대강초등학교,0.798328040286499,0.8474087964484807,0.08294930875576051,0.25874125874125875,0.019522776572668113
22,충청북도 단양군,매포초등학교,0.8467064140490311,0.8664229989745578,0.08294930875576051,0.25874125874125875,0.07646420824295011
23,충청북도 단양군,상진초등학교,0.8523420696563175,0.8340090812380039,0.08294930875576051,0.25874125874125875,0.06724511930585685
24,충청북도 단양군,어상천초등학교,0.8690513083076526,0.9449245419021767,0.08294930875576051,0.0,0.011930585683297181
25,충청북도 단양군,영춘초등학교,0.8921646497255364,0.867480989724821,0.08294930875576051,0.0,0.022776572668112796
26,충청북도 단양군,영춘초등학교별방분교장,,0.9157364773373936,0.08294930875576051,0.0,0.0010845986984815619
27,충청북도 보은군,관기초등학교,0.8442942563464697,0.8578062766427851,0.17511520737327196,0.22424242424242422,0.016268980477223426
28,충청북도 보은군,내북초등학교,0.7800688472303243,0.8207141456627803,0.17511520737327196,0.0,0.012472885032537961
29,충청북도 보은군,동광초등학교,0.8363490518421677,0.8446377267670805,0.17511520737327196,0.6727272727272727,0.20281995661605207
30,충청북도 보은군,보은삼산초등학교,0.8003079143696117,0.8521252042932419,0.17511520737327196,0.6727272727272727,0.14045553145336226
31,충청북도 보은군,산외초등학교,0.8916189525527539,0.8793875067770536,0.17511520737327196,0.0,0.0070498915401301515
32,충청북도 보은군,세중초등학교,0.8578440493872956,0.8671028099656685,0.17511520737327196,0.0,0.0113882863340564
33,충청북도 보은군,속리초등학교,0.7748655292667868,0.8422733543945328,0.17511520737327196,0.0,0.026030368763557483
34,충청북도 보은군,수정초등학교,0.8764009320528151,0.854661885021003,0.17511520737327196,0.0,0.019522776572668113
35,충청북도 보은군,수한초등학교,0.830807591323195,0.8508920876085788,0.17511520737327196,0.6727272727272727,0.014642082429501086
36,충청북도 보은군,종곡초등학교,0.8049436295220361,0.841024694325092,0.17511520737327196,0.44848484848484843,0.016811279826464208
37,충청북도 보은군,탄부초등학교,0.811718722271077,0.8379476439813719,0.17511520737327196,0.6727272727272727,0.009219088937093277
38,충청북도 보은군,판동초등학교,0.8208550189673951,0.8485459559985833,0.17511520737327196,0.22424242424242422,0.01898047722342733
39,충청북도 보은군,판동초등학교송죽분교장,,0.8713624093806149,0.17511520737327196,0.44848484848484843,0.002169197396963124
40,충청북도 보은군,회남초등학교,0.8493875803120242,0.8992142179917845,0.17511520737327196,0.0,0.0065075921908893716
41,충청북도 보은군,회인초등학교,0.8369303679336096,0.8340095234109476,0.17511520737327196,0.0,0.02386117136659436
42,충청북도 영동군,구룡초등학교,0.8286867597315928,0.8582898525357374,0.2903225806451614,0.0,0.028741865509761388
43,충청북도 영동군,매곡초등학교,0.8136083961779653,0.8278622549779779,0.2903225806451614,0.0,0.010303687635574838
44,충청북도 영동군,부용초등학교,0.84932794899345,0.8651597079407265,0.2903225806451614,0.7207792207792206,0.06941431670281996
45,충청북도 영동군,상촌초등학교,0.8229379828845979,0.8647548486425213,0.2903225806451614,0.0,0.020607375271149673
46,충청북도 영동군,심천초등학교,0.8506956566888059,0.8430385362167137,0.2903225806451614,0.24025974025974023,0.009761388286334056
47,충청북도 영동군,양강초등학교,0.8471533379553442,0.8683529978569504,0.2903225806451614,0.24025974025974023,0.01735357917570499
48,충청북도 영동군,양산초등학교,0.8562895468293963,0.8712775611766925,0.2903225806451614,0.0,0.014642082429501086
49,충청북도 영동군,영동초등학교,0.814822234873627,0.8415823765319455,0.2903225806451614,0.48051948051948046,0.3237527114967462
50,충청북도 영동군,용화초등학교,0.8896701705604022,0.8496695433119413,0.2903225806451614,0.0,0.010845986984815618
51,충청북도 영동군,이수초등학교,0.8321153330861008,0.8427012135656551,0.2903225806451614,0.48051948051948046,0.1822125813449024
52,충청북도 영동군,초강초등학교,0.8439101158311955,0.835296677551914,0.2903225806451614,0.24025974025974023,0.011930585683297181
53,충청북도 영동군,추풍령초등학교,0.8175971420352358,0.8113406593530373,0.2903225806451614,0.0,0.01735357917570499
54,충청북도 영동군,학산초등학교,0.8630880678656423,0.8558486866407193,0.2903225806451614,0.0,0.015726681127982645
55,충청북도 영동군,황간초등학교,0.8509018337769508,0.8346611031237866,0.2903225806451614,0.0,0.06344902386117138
56,충청북도 옥천군,군남초등학교,0.8432262045111444,0.8343221433702069,0.2027649769585253,0.9610389610389609,0.034164859002169194
57,충청북도 옥천군,군서초등학교,0.8497242469685102,0.8951086868816635,0.2027649769585253,0.0,0.015184381778741865
58,충청북도 옥천군,동이초등학교,0.7903873647166432,0.8125989581164192,0.2027649769585253,0.48051948051948046,0.022234273318872018
59,충청북도 옥천군,동이초등학교우산분교장,0.7650066737727539,0.8331251806093483,0.2027649769585253,0.0,0.009219088937093277
60,충청북도 옥천군,삼양초등학교,0.8149462892567555,0.8485371527460346,0.2027649769585253,0.7207792207792206,0.42733188720173537
61,충청북도 옥천군,안남초등학교,0.8400649745333293,0.8936417105215836,0.2027649769585253,0.0,0.010303687635574838
62,충청북도 옥천군,안내초등학교,0.8276398744931345,0.8383005353749581,0.2027649769585253,0.0,0.01735357917570499
63,충청북도 옥천군,이원초등학교,0.859164775275917,0.8824563732025719,0.2027649769585253,0.0,0.033622559652928416
64,충청북도 옥천군,장야초등학교,0.8397726682192731,0.8346768702271677,0.2027649769585253,0.9610389610389609,0.2537960954446855
65,충청북도 옥천군,죽향초등학교,0.8436137022412884,0.855213136381965,0.2027649769585253,0.7207792207792206,0.14533622559652928
66,충청북도 옥천군,증약초등학교,0.8658580776173318,0.8644093960436161,0.2027649769585253,0.0,0.02006507592190889
67,충청북도 옥천군,증약초등학교대정분교장,0.8081000058029651,0.8430385362167137,0.2027649769585253,0.0,0.002711496746203905
68,충청북도 옥천군,청산초등학교,0.9191657224617402,0.817804540125238,0.2027649769585253,0.24025974025974023,0.015726681127982645
69,충청북도 옥천군,청성초등학교,0.7763057108642314,0.767886869185578,0.2027649769585253,0.24025974025974023,0.009761388286334056
70,충청북도 음성군,감곡초등학교,0.8004062268611088,0.8512457558781835,0.5529953917050692,0.16818181818181818,0.1301518438177874
71,충청북도 음성군,남신초등학교,0.8294348699697212,0.8569896521511811,0.5529953917050692,0.5045454545454545,0.16973969631236444
72,충청북도 음성군,능산초등학교,,0.9056492032106007,0.5529953917050692,,
73,충청북도 음성군,대소초등학교,0.8151278990683911,0.8479890966716143,0.5529953917050692,0.0,0.37201735357917576
74,충청북도 음성군,동성초등학교,0.7982769481959974,0.8423728272255133,0.5529953917050692,0.16818181818181818,0.48210412147505427
75,충청북도 음성군,맹동초등학교,0.8145101749495881,0.8633158545045067,0.5529953917050692,0.16818181818181818,0.04609544468546638
76,충청북도 음성군,무극초등학교,0.8286956987859115,0.8401840532887339,0.5529953917050692,0.16818181818181818,0.19088937093275488
77,충청북도 음성군,부윤초등학교,0.8510742700532321,0.8902808261567295,0.5529953917050692,0.0,0.02928416485900217
78,충청북도 음성군,삼성초등학교,0.834169464877631,0.8466662188932425,0.5529953917050692,0.0,0.07917570498915402
79,충청북도 음성군,생극초등학교,0.829798861843833,0.864692657404805,0.5529953917050692,0.0,0.06670281995661606
80,충청북도 음성군,소이초등학교,0.8648844485302749,0.8275259704977806,0.5529953917050692,0.0,0.024945770065075923
81,충청북도 음성군,수봉초등학교,0.8533424169097434,0.8581791451297682,0.5529953917050692,0.33636363636363636,0.1193058568329718
82,충청북도 음성군,쌍봉초등학교,0.8111548071734943,0.8504347074849048,0.5529953917050692,0.0,0.02982646420824295
83,충청북도 음성군,오갑초등학교,0.7973190212804923,0.8180278673149574,0.5529953917050692,0.16818181818181818,0.017895878524945768
84,충청북도 음성군,오선초등학교,0.86022610087392,0.8657766527682054,0.5529953917050692,0.16818181818181818,0.02982646420824295
85,충청북도 음성군,용천초등학교,0.8503539542883926,0.858239213981487,0.5529953917050692,0.33636363636363636,0.2527114967462039
86,충청북도 음성군,원남초등학교,0.8005768995046272,0.8570044693575175,0.5529953917050692,0.0,0.034164859002169194
87,충청북도 음성군,원당초등학교,0.8920125818818406,0.8769979086922955,0.5529953917050692,0.0,0.027657266811279824
88,충청북도 음성군,청룡초등학교,0.874629153588726,0.899831533176126,0.5529953917050692,0.0,0.022234273318872018
89,충청북도 음성군,평곡초등학교,0.7587319812269063,0.8104999623092844,0.5529953917050692,0.33636363636363636,0.022776572668112796
90,충청북도 음성군,하당초등학교,0.8416646054317483,0.8432066541750071,0.5529953917050692,0.16818181818181818,0.03091106290672451
91,충청북도 제천시,금성초등학교,0.8647687083735519,0.8490466305242078,0.49308755760368655,0.0,0.014642082429501086
92,충청북도 제천시,남당초등학교,0.8379848824983788,0.8503670685064968,0.49308755760368655,0.5849802371541502,0.07537960954446855
93,충청북도 제천시,남천초등학교,0.8300130594274887,0.8231222029477896,0.49308755760368655,0.5849802371541502,0.07158351409978309
94,충청북도 제천시,내토초등학교,0.8605184533175235,0.8598337774406093,0.49308755760368655,0.2924901185770751,0.12635574837310196
95,충청북도 제천시,동명초등학교,0.8081408287697894,0.8468288672624916,0.49308755760368655,0.2924901185770751,0.39913232104121477
96,충청북도 제천시,두학초등학교,0.8370977866685778,0.8463429880858354,0.49308755760368655,0.0,0.028741865509761388
97,충청북도 제천시,명지초등학교,0.8009031777182296,0.8500958430624025,0.49308755760368655,0.14624505928853754,0.46203904555314534
98,충청북도 제천시,백운초등학교,0.8440111158281413,0.8480035585958234,0.49308755760368655,0.0,0.0254880694143167
99,충청북도 제천시,봉양초등학교,0.8443800684930584,0.8563798293864125,0.49308755760368655,0.0,0.03579175704989154
100,충청북도 제천시,송학초등학교,0.694628862280874,0.8328035693789784,0.49308755760368655,0.0,0.02928416485900217
101,충청북도 제천시,수산초등학교,0.9249233356036162,0.8874984340921708,0.49308755760368655,0.0,0.007592190889370933
102,충청북도 제천시,신백초등학교,0.8470699524803728,0.8451228556542035,0.49308755760368655,0.4387351778656126,0.1415401301518438
103,충청북도 제천시,왕미초등학교,0.7989425832406206,0.8543577687219329,0.49308755760368655,0.0,0.1420824295010846
104,충청북도 제천시,용두초등학교,0.8327207905576672,0.8496135692441616,0.49308755760368655,0.2924901185770751,0.12093275488069415
105,충청북도 제천시,의림초등학교,0.8519179168516665,0.8467566703457177,0.49308755760368655,0.4387351778656126,0.2700650759219089
106,충청북도 제천시,장락초등학교,0.8220003323993474,0.8450775254192741,0.49308755760368655,0.2924901185770751,0.5162689804772235
107,충청북도 제천시,제천덕산초등학교,0.8478122684167019,0.8633095434810744,0.49308755760368655,0.0,0.02386117136659436
108,충청북도 제천시,제천중앙초등학교,0.836973893244758,0.851921354306482,0.49308755760368655,0.2924901185770751,0.13828633405639912
109,충청북도 제천시,청풍초등학교,0.7618316482277395,0.8284226914109826,0.49308755760368655,0.0,0.014099783080260305
110,충청북도 제천시,한송초등학교,0.7289833415287491,0.8033851137872519,0.49308755760368655,0.0,0.005965292841648591
111,충청북도 제천시,홍광초등학교,0.8088670877334165,0.8433817448981689,0.49308755760368655,0.2924901185770751,0.3584598698481562
112,충청북도 제천시,화당초등학교,0.8276834746509347,0.8758230193492237,0.49308755760368655,0.0,0.028741865509761388
113,충청북도 제천시,화산초등학교,0.8297116294079062,0.8523946958511823,0.49308755760368655,0.4387351778656126,0.14533622559652928
114,충청북도 증평군,도안초등학교,0.7308631392943687,0.8398266217131188,1.0,0.0,0.05856832971800434
115,충청북도 증평군,삼보초등학교,0.8266214519303238,0.8534520810108148,1.0,0.8409090909090908,0.3432754880694143
116,충청북도 증평군,죽리초등학교,0.8036201636787738,0.9594915080662602,1.0,0.0,0.049891540130151846
117,충청북도 증평군,증평초등학교,0.824352282701379,0.8423611380044265,1.0,0.8409090909090908,0.6409978308026031
118,충청북도 진천군,구정초등학교,0.8425375328401,0.8678534389188918,0.9769585253456223,0.0,0.03253796095444685
119,충청북도 진천군,금구초등학교,0.8411341107483049,0.9108011321471594,0.9769585253456223,0.22424242424242422,0.026572668112798264
120,충청북도 진천군,만승초등학교,0.823598844304051,0.8446990272951244,0.9769585253456223,0.0,0.3345986984815619
121,충청북도 진천군,문백초등학교,0.8087820486012522,0.8560396583247339,0.9769585253456223,0.0,0.03091106290672451
122,충청북도 진천군,문상초등학교,0.8403034776568138,0.8599186097926147,0.9769585253456223,0.0,0.0596529284164859
123,충청북도 진천군,백곡초등학교,0.8324760267376724,0.8654256949243544,0.9769585253456223,0.0,0.020607375271149673
124,충청북도 진천군,성암초등학교,0.8477890315179016,0.8806650210719315,0.9769585253456223,0.0,0.022776572668112796
125,충청북도 진천군,옥동초등학교,0.795776509665056,0.831698090744899,0.9769585253456223,0.44848484848484843,0.740238611713666
126,충청북도 진천군,이월초등학교,0.8596165949994722,0.8638730744883115,0.9769585253456223,0.22424242424242422,0.061279826464208244
127,충청북도 진천군,진천삼수초등학교,0.8201354619124143,0.8418915815047604,0.9769585253456223,0.22424242424242422,0.4078091106290673
128,충청북도 진천군,진천상산초등학교,0.8361809105074812,0.8471203909985993,0.9769585253456223,0.22424242424242422,0.4040130151843818
129,충청북도 진천군,진천상신초등학교,0.7526907428351555,0.8421622118433193,0.9769585253456223,0.44848484848484843,0.5797180043383948
130,충청북도 진천군,초평초등학교,0.7504786286966801,0.8525039992514571,0.9769585253456223,0.0,0.045010845986984814
131,충청북도 진천군,학성초등학교,0.8359740245679111,0.8746604221765537,0.9769585253456223,0.0,0.0368763557483731
132,충청북도 진천군,한천초등학교,0.8343610240071173,0.8578077930072645,0.9769585253456223,0.44848484848484843,0.09761388286334058
133,충청북도 청주시,가경초등학교,0.763585127858172,0.7880800388677601,0.9493087557603688,0.13590449954086317,0.1556399132321041
134,충청북도 청주시,가덕초등학교,0.8209075972729836,0.8396131897670142,0.9493087557603688,0.0,0.021691973969631236
