,학교명,X_i(2025)
0,가곡초등학교보발분교장,2
1,용원초등학교동락분교장,3
2,영춘초등학교별방분교장,4
5,판동초등학교송죽분교장,6
4,증약초등학교대정분교장,7
3,미원초등학교금관분교장,9
9,한송초등학교,13
8,회남초등학교,14
7,산외초등학교,15
6,수산초등학교,16
27,가곡초등학교,19
16,용담초등학교현양원분교장,19
14,동이초등학교우산분교장,19
23,탄부초등학교,19
12,소태초등학교,20
22,청성초등학교,20
13,심천초등학교,20
15,대가초등학교,21
10,안남초등학교,21
21,매곡초등학교,21
11,용화초등학교,22
18,세중초등학교,23
20,수성초등학교구성분교장,23
24,초강초등학교,24
17,어상천초등학교,24
34,내북초등학교,25
19,옥포초등학교,26
26,가곡초등학교대곡분교장,27
31,연풍초등학교,27
33,가평초등학교,27
55,청풍초등학교,28
28,금성초등학교,29
43,대길초등학교,29
30,양산초등학교,29
35,수한초등학교,29
41,상봉초등학교,30
38,석성초등학교,30
36,군서초등학교,30
47,현도초등학교,31
39,학산초등학교,31
25,청산초등학교,31
29,수회초등학교,31
46,소수초등학교,31
40,달천초등학교매현분교장,32
44,관기초등학교,32
50,오석초등학교,33
54,종곡초등학교,33
48,단천초등학교,34
49,양강초등학교,34
51,안내초등학교,34
52,추풍령초등학교,34
66,오갑초등학교,35
56,수안보초등학교,36
53,산척초등학교,37
64,판동초등학교,37
37,수정초등학교,38
65,대강초등학교,38
62,청천초등학교,38
73,청안초등학교,39
77,가흥초등학교,39
42,신송초등학교,39
32,증약초등학교,39
59,장연초등학교,39
63,상촌초등학교,40
45,백곡초등학교,40
72,행정초등학교,40
82,북일초등학교,41
83,백봉초등학교,42
69,앙성초등학교,42
96,용원초등학교,42
71,가덕초등학교,42
60,청룡초등학교,43
58,북이초등학교,43
81,동이초등학교,43
57,영춘초등학교,44
61,성암초등학교,44
103,평곡초등학교,44
68,서촌초등학교,45
67,회인초등학교,46
76,제천덕산초등학교,46
70,달천초등학교,47
75,칠성초등학교,48
74,소이초등학교,48
94,단월초등학교,48
86,대미초등학교,48
80,백운초등학교,49
95,세성초등학교,49
110,동량초등학교,50
79,노은초등학교,50
84,엄정초등학교,50
98,속리초등학교,50
102,목도초등학교,51
85,금구초등학교,51
90,갈원초등학교,52
97,송면초등학교,53
78,원당초등학교,53
101,감물초등학교,53
89,두학초등학교,55
87,화당초등학교,55
99,구룡초등학교,55
100,주덕초등학교,55
107,송학초등학교,56
91,부윤초등학교,56
106,쌍봉초등학교,57
93,오선초등학교,57
105,낭성초등학교,58
108,하당초등학교,59
111,문백초등학교,59
114,문광초등학교,60
92,구정초등학교,62
113,문의초등학교도원분교장,63
104,이원초등학교,64
115,원남초등학교,65
88,군남초등학교,65
109,문의초등학교,68
120,미원초등학교,68
112,봉양초등학교,68
116,학성초등학교,70
117,강내초등학교,72
119,비상초등학교,73
118,동화초등학교,76
122,덕신초등학교,81
121,보광초등학교,82
126,초평초등학교,85
124,맹동초등학교,87
123,남이초등학교,89
125,죽리초등학교,94
137,도안초등학교,110
128,문상초등학교,112
127,이월초등학교,115
129,황간초등학교,119
130,생극초등학교,125
131,상진초등학교,126
132,충주예성초등학교,129
134,부용초등학교,130
136,남천초등학교,134
133,괴산명덕초등학교,136
135,연수초등학교,138
138,남당초등학교,141
139,금가초등학교,143
140,매포초등학교,143
141,삼성초등학교,148
143,한천초등학교,182
142,우암초등학교,189
145,오창초등학교,189
144,오송초등학교,192
151,서원초등학교,208
150,주성초등학교,221
148,수봉초등학교,222
152,용두초등학교,225
149,충주대림초등학교,225
146,남일초등학교,230
154,청주내덕초등학교,233
147,내토초등학교,235
153,충주삼원초등학교,240
160,감곡초등학교,242
168,충주대소원초등학교,246
157,한솔초등학교,247
162,충주교현초등학교,256
161,제천중앙초등학교,257
177,석교초등학교,259
155,용담초등학교,260
166,보은삼산초등학교,261
156,신백초등학교,263
163,왕미초등학교,264
165,화산초등학교,270
159,죽향초등학교,270
158,흥덕초등학교,277
169,사직초등학교,282
167,동인초등학교,287
180,가경초등학교,289
164,한벌초등학교,291
170,내수초등학교,312
172,남신초등학교,315
174,충주중앙초등학교,315
176,단양초등학교,320
173,옥산초등학교,328
171,청남초등학교,338
175,이수초등학교,338
184,덕벌초등학교,351
181,무극초등학교,354
182,동광초등학교,376
179,목행초등학교,382
178,칠금초등학교,390
193,모충초등학교,390
187,덕성초등학교,397
186,상당초등학교,407
188,청주교육대학교부설초등학교,412
248,복대초등학교,443
185,경산초등학교,447
195,풍광초등학교,459
191,분평초등학교,459
202,양청초등학교,464
189,용천초등학교,468
192,장야초등학교,470
200,운천초등학교,470
194,한국교원대학교부설월곡초등학교,471
190,봉정초등학교,476
204,봉명초등학교,484
201,수곡초등학교,489
183,경덕초등학교,494
196,원평초등학교,496
197,의림초등학교,500
199,새터초등학교,510
198,원봉초등학교,524
210,청주대성초등학교,534
203,충주성남초등학교,554
207,율량초등학교,561
206,용암초등학교,572
208,죽림초등학교,572
209,봉덕초등학교,588
211,수성초등학교,591
213,영동초등학교,599
217,만승초등학교,619
212,충주용산초등학교,622
214,남성초등학교,630
235,운동초등학교,631
215,삼보초등학교,635
219,충주금릉초등학교,654
221,홍광초등학교,663
220,직지초등학교,666
205,서경초등학교,669
216,진흥초등학교,681
218,성화초등학교,686
223,대소초등학교,688
232,동명초등학교,738
230,사천초등학교,743
225,진천상산초등학교,747
224,탄금초등학교,752
231,진천삼수초등학교,754
227,증안초등학교,757
226,비봉초등학교,772
222,용성초등학교,773
229,샛별초등학교,776
228,남평초등학교,780
236,삼양초등학교,790
242,청주소로초등학교,790
247,생명초등학교,813
237,산남초등학교,816
234,청원초등학교,824
233,개신초등학교,850
239,교동초등학교,851
240,명지초등학교,854
238,충주남산초등학교,855
241,강서초등학교,870
245,동성초등학교,891
243,주중초등학교,898
244,금천초등학교,930
246,장락초등학교,954
251,충주중앙탑초등학교,995
250,동주초등학교,1046
253,진천상신초등학교,1071
249,서현초등학교,1081
256,충주남한강초등학교,1092
252,국원초등학교,1113
258,단재초등학교,1147
254,증평초등학교,1184
255,만수초등학교,1237
257,창신초등학교,1258
264,용아초등학교,1263
262,청주내곡초등학교,1339
260,옥동초등학교,1367
263,창리초등학교,1405
261,산성초등학교,1435
259,각리초등학교,1442
265,중앙초등학교,1662
266,솔밭초등학교,1846
